state,postcode,name,region
VIC,3055,BRUNSWICK WEST,PRESTON
VIC,3055,MOONEE VALE,PRESTON
VIC,3055,MORELAND WEST,PRESTON
VIC,3056,BRUNSWICK,PRESTON
VIC,3056,BRUNSWICK LOWER,PRESTON
VIC,3056,BRUNSWICK NORTH,PRESTON
VIC,3057,BRUNSWICK EAST,PRESTON
VIC,3057,SUMNER,PRESTON
VIC,3058,BATMAN,PRESTON
VIC,3058,COBURG,PRESTON
VIC,3058,COBURG NORTH,PRESTON
VIC,3058,MERLYNSTON,PRESTON
VIC,3058,MORELAND,PRESTON
VIC,3059,GREENVALE,MELB NORTH WEST
VIC,3060,FAWKNER,PRESTON
VIC,3061,CAMPBELLFIELD,MELB NORTH WEST
VIC,3062,SOMERTON,MELB NORTH WEST
VIC,3063,OAKLANDS JUNCTION,MELB NORTH WEST
VIC,3063,YUROKE,MELB NORTH WEST
VIC,3064,CRAIGIEBURN,MELB NORTH WEST
VIC,3064,DONNYBROOK,MELB NORTH WEST
VIC,3064,KALKALLO,MELB NORTH WEST
VIC,3064,MICKLEHAM,MELB NORTH WEST
VIC,3064,ROXBURGH PARK,MELB NORTH WEST
VIC,3065,FITZROY,MELBOURNE CITY
VIC,3066,COLLINGWOOD,MELBOURNE CITY
VIC,3066,COLLINGWOOD NORTH,MELBOURNE CITY
VIC,3067,ABBOTSFORD,MELBOURNE CITY
VIC,3068,CLIFTON HILL,PRESTON
VIC,3068,FITZROY NORTH,PRESTON
VIC,3070,NORTHCOTE,PRESTON
VIC,3071,THORNBURY,PRESTON
VIC,3072,GILBERTON,PRESTON
VIC,3072,NORTHLAND CENTRE,PRESTON
VIC,3072,PRESTON,PRESTON
VIC,3072,PRESTON SOUTH,PRESTON
VIC,3072,PRESTON WEST,PRESTON
VIC,3072,REGENT WEST,PRESTON
VIC,3073,RESERVOIR,PRESTON
VIC,3074,THOMASTOWN,RINGWOOD
VIC,3075,LALOR,RINGWOOD
VIC,3076,EPPING,RINGWOOD
VIC,3078,ALPHINGTON,PRESTON
VIC,3078,FAIRFIELD,PRESTON
VIC,3079,IVANHOE,HAWTHORN
VIC,3079,IVANHOE EAST,HAWTHORN
VIC,3079,IVANHOE NORTH,HAWTHORN
VIC,3081,BELLFIELD,HAWTHORN
VIC,3081,HEIDELBERG HEIGHTS,HAWTHORN
VIC,3081,HEIDELBERG WEST,HAWTHORN
VIC,3082,MILL PARK,RINGWOOD
VIC,3083,BUNDOORA,PRESTON
VIC,3083,KINGSBURY,PRESTON
VIC,3083,LA TROBE UNIVERSITY,PRESTON
VIC,3084,BANYULE,HAWTHORN
VIC,3084,EAGLEMONT,HAWTHORN
VIC,3084,HEIDELBERG,HAWTHORN
VIC,3084,ROSANNA,HAWTHORN
VIC,3084,VIEWBANK,HAWTHORN
VIC,3085,MACLEOD,HAWTHORN
VIC,3085,MACLEOD WEST,HAWTHORN
VIC,3085,YALLAMBIE,HAWTHORN
VIC,3087,WATSONIA,PRESTON
VIC,3087,WATSONIA NORTH,PRESTON
VIC,3088,BRIAR HILL,PRESTON
VIC,3088,GREENSBOROUGH,PRESTON
VIC,3088,ST HELENA,PRESTON
VIC,3089,DIAMOND CREEK,MELB NORTH WEST
VIC,3090,PLENTY,MELB NORTH WEST
VIC,3091,YARRAMBAT,MELB NORTH WEST
VIC,3093,LOWER PLENTY,PRESTON
VIC,3094,MONTMORENCY,PRESTON
VIC,3095,ELTHAM,PRESTON
VIC,3095,ELTHAM NORTH,PRESTON
VIC,3095,RESEARCH,PRESTON
VIC,3096,WATTLE GLEN,MELB NORTH WEST
VIC,3097,BEND OF ISLANDS,PRESTON
VIC,3097,KANGAROO GROUND,PRESTON
VIC,3097,WATSONS CREEK,PRESTON
